Type	#	user	text	nextType	#	unlocks	
badending6	3	Holly	oh my god. We should've told him not to touch it!	badending6	4	-1	
badending6	4	Holly	even though he didn’t touch the wires… it’s still an electrical appliance…	badending6	5	-1	
badending6	5	Holly	a plugged one, at that!	badending6	6	-1	
badending6	6	Holly	oh no… i really hope he’s okay	notif	13	-1	
badending6	7	Holly	@Jacob	badending6	8	-1	
badending6	8	Holly	@Jacob	badending6	9	-1	
badending6	9	Holly	[Player],  I have a bad feeling about this	badending6	10	-1	
badending6	10	Holly	tw*tter says that the storm surge has calmed down already	badending6	11	-1	
badending6	11	Holly	but Jacob still hasn’t contacted us	choice	58,59	-1	
badending6	12	Holly	if something bad did happen to him, it’s not your fault nor mine alone	badending6	13	-1	
badending6	13	Holly	it’s both our fault	notif	14	-1	
badending6	14	Holly	Jacob!!	badending6	15	-1	
badending6	15	Holly	i knew it! You’re safe!	badending6	16	-1	
badending6	16	Jacob	Holly, [Player]	badending6	17	-1	
badending6	17	Holly	what happened last time?? Why did you suddenly stop messaging us like that?	badending6	18	-1	
badending6	18	Holly	we were so worried	badending6	19	-1	
badending6	19	Jacob	I’m sorry	badending6	20	-1	
badending6	20	Jacob	but this is not Jacob	badending6	21	-1	
badending6	21	Jacob	this is his mother	badending6	22	-1	
badending6	22	Jacob	he was already unconscious when we found him	badending6	23	-1	
badending6	23	Jacob	he was lying beside a radio, so we could only guess that he tried to turn it on...	badending6	24	-1	
badending6	24	Jacob	i’m sorry i have no heart to tell you in detail what happened	badending6	25	-1	
badending6	25	Jacob	just know that what happened to Jacob is neither of your faults	badending6	26	-1	
badending6	26	Jacob	it’s mine	badending6	27	-1	
badending6	27	Jacob	both of you tried your best to guide and help Jacob, well, us, through the storm surge, and I, as his mother couldn’t do anything.	badending6	28	-1	
badending6	28	Jacob	we even thoughtlessly ignored the warning message that was sent to us	badending6	29	-1	
badending6	29	Jacob	i could’ve at least kept a close eye on him...	badending6	30	-1	
badending6	30	Jacob	despite what happened to Jacob, we are truly thankful for both of your guidance	badending6	31	-1	
badending6	31	Jacob	i promise to read more on disaster preparedness	badending6	32	-1	
badending6	32	Jacob	and i hope you do too	badending6	33	-1	
badending6	33	Jacob	once again, thank you, and farewell	block	6	-1	
badending7	0	Jacob	nice, I was afraid you’d say no for a second	notif	4	-1	
badending7	1	Jacob	yuck! This water tastes weird!	badending7	2	-1	
badending7	2	Jacob	i work hard cleaning up and this is how I’m rewarded?	badending7	3	-1	
badending7	3	Holly	are you okay?	badending7	4	-1	
badending7	4	Jacob	besides this disgusting feeling in my mouth, i think i’m okay. Why would i not be?	badending7	5	-1	
badending7	5	Holly	the water might be contaminated, stupid!	badending7	6	-1	
badending7	6	Jacob	oh… right…	badending7	7	-1	
badending7	7	Jacob	but I don’t feel any different	badending7	8	-1	
badending7	8	Jacob	so i think it’s okay	badending7	9	-1	
badending7	9	Jacob	i’ll steer clear of contaminated water from now on, I guess	badending7	10	-1	
badending7	10	Holly	and get yourself checked as soon as possible!	badending7	11	-1	
badending7	11	Holly	you don’t know what might be in there!	badending7	12	-1	
badending7	12	Jacob	sure, yeah, as soon as possible.	badending7	13	-1	
badending7	13	Holly	promise?	badending7	14	-1	
badending7	14	Jacob	yeah. Well, see you guys later. There’s still lots to do and I want to finish this while im still feeling energized	badending7	15	-1	
badending7	15	Holly	alright, good luck	notif	5	-1	
badending7	16	Holly	Jacob hasn’t contacted us in a while… I have a bad feeling about this	choice	45,46	-1	
badending7	17	Holly	if something bad did happen to him, it’s not your fault nor mine alone	badending7	18	-1	
badending7	18	Holly	it’s both our fault	notif	6	-1	
badending7	19	Holly	Jacob!!	badending7	20	-1	
badending7	20	Holly	i knew it! You’re safe!	badending7	21	-1	
badending7	21	Jacob	Holly, [Player]	badending7	22	-1	
badending7	22	Holly	what happened last time?? Why did you suddenly stop messaging us like that?	badending7	23	-1	
badending7	23	Holly	we were so worried	badending7	24	-1	
badending7	24	Jacob	I’m sorry	badending7	25	-1	
badending7	25	Jacob	but this is not Jacob	badending7	26	-1	
badending7	26	Jacob	this is his mother	badending7	27	-1	
badending7	27	Jacob	Jacob had been sick with fever, diarrhea, and headaches for a while now, but he never told us until he got worse	badending7	28	-1	
badending7	28	Jacob	we rushed him to the hospital as soon as possible	badending7	29	-1	
badending7	29	Jacob	turns out, he had been typhoid fever.	badending7	30	-1	
badending7	30	Jacob	doctors attended to him immediately and we thought everything was going to be fine	badending7	31	-1	
badending7	31	Jacob	however, because we waited so long to get him treated, he had contracted pneumonia as well	badending7	32	-1	
badending7	32	Jacob	he endured the symptoms for too long and it was simply too late...	badending7	33	-1	
badending7	33	Jacob	i’m sorry i have no heart to tell you in detail what happened	badending7	34	-1	
badending7	34	Jacob	just know that what happened to Jacob is neither of your faults	badending7	35	-1	
badending7	35	Jacob	it’s mine	badending7	36	-1	
badending7	36	Jacob	both of you tried your best to guide and help Jacob, well, us, through the storm surge, and I, as his mother couldn’t do anything.	badending7	37	-1	
badending7	37	Jacob	<b>i could’ve at least kept a close eye on him...</b>	badending7	38	-1	
badending7	38	Jacob	despite what happened to Jacob, we are truly thankful for both of your guidance	badending7	39	-1	
badending7	39	Jacob	i promise to read more on disaster preparedness	badending7	40	-1	
badending7	40	Jacob	and i hope you do too	badending7	41	-1	
badending7	41	Jacob	once again, thank you, and farewell	block	4	-1	
block	0	system	woops, can't select this option yet!	stop	0	-1	
block	1	system	congratulations, you have reached the good ending!	stop	0	-1	
block	2	system	you have reached Bad Ending 1, please try again to get the good ending	stop	0	-1	
block	3	system	you have reached Bad Ending 4, please try again to get the good ending	stop	0	-1	
block	4	system	you have reached Bad Ending 7, please try again to get the good ending	stop	0	-1	
block	5	system	you have reached Bad Ending 5, please try again to get the good ending	stop	0	-1	
block	6	system	you have reached Bad Ending 6, please try again to get the good ending	stop	0	-1	
block	7	system	you have reached Bad Ending 2, please try again to get the good ending	stop	0	-1	
block	8	system	you have reached Bad Ending 3, please try again to get the good ending	stop	0	-1	
choice	0	Player	Yeah, you didn't tell us	intro	12	-1	
choice	1	Player	I knew about it	intro	13	-1	
choice	2	Player	Tacloban?	intro	19	-1	
choice	3	Player	HAHA lmao the greatest	intro	22	-1	
choice	4	Player	what do you mean by 'great'?	intro	24	-1	
choice	5	Player	well, Holly has a point	intro	34	-1	
choice	6	Player	Yes, it was a tsunami	intro	43	-1	
choice	7	Player	No, it wasn’t a tsunami	intro	50	-1	
choice	8	Player	no I don't	block	0	-1	
choice	9	Player	hold on, I'll google it	minigame	0	-1	
choice	10	Player	it’s not too late	event1	21	-1	
choice	11	Player	it’s too late	event1	19	-1	
choice	12	Player	i’m glad	evac	4	-1	
choice	13	Player	get some rest	evac	3	-1	
choice	14	Player	you’ll be fine	evac	13	-1	
choice	15	Player	i’ll be praying for you	evac	13	-1	
choice	16	Player	text us when you get back	evac	24	-1	
choice	17	Player	get back safely	evac	24	-1	
choice	18	Player	go back the shortest way possible	badending1	0	-1	
choice	19	Player	take a detour	evac	32	-1	
choice	20	Player	i’m sorry	postdisaster1	10	-1	
choice	21	Player	it’s too late for regret	postdisaster1	11	-1	
choice	22	Player	go ahead and pump the water out	badending3	0	-1	
choice	23	Player	wait	event2	0	-1	
choice	24	Player	when the water is no longer covering the ground around the house	event2	8	-1	
choice	25	Player	What are you talking about?	event2	13	-1	
choice	26	Player	I feel the same way.	event2	13	-1	
choice	27	Player	open the windows	event3	0	-1	
choice	28	Player	fetch the dehumidifier and air mover	badending2	0	-1	
choice	29	Player	go ahead	badending7	0	-1	
choice	30	Player	don't	event4	0	-1	
choice	31	Player	16211	event4	9	4	
choice	32	Player	just think of it as a work out	badending3	0	-1	
choice	33	Player	don’t pump all of them out	event5	0	-1	
choice	34	Player	pump about 1-3 feet and leave it overnight	event5	2	-1	
choice	35	Player	When is he was getting back?	goodending	3	-1	
choice	36	Player	Answering his questions tired me out	goodending	5	-1	
choice	37	Player	bye	goodending	33	-1	
choice	38	Player	you’re amazing	goodending	32	-1	
choice	39	Player	maybe he got electrocuted	badending1	5	-1	
choice	40	Player	maybe his cell phone fell into the water	badending1	5	-1	
choice	41	Player	me too..	badending1	8	-1	
choice	42	Player	it’s my fault	badending1	8	-1	
choice	43	Player	me too..	badending4	9	-1	
choice	44	Player	it’s my fault	badending4	9	-1	
choice	45	Player	me too..	badending7	17	-1	
choice	46	Player	it’s my fault	badending7	17	-1	
choice	47	Player	wait	event9	0	-1	
choice	48	Player	have you checked if you’re wet?	event9	3	-1	
choice	49	Player	even unplugged appliances can still be carrying electricity	event9	18	-1	
choice	50	Player	by any chance, do you have a HAM radio? 	event9	34	-1	
choice	51	Player	well, it’s not completely hopeless without a ham radio	event9	50	-1	
choice	52	Player	wait for a bit	badending5	6	-1	
choice	53	Player	your mother found you?	badending5	17	-1	
choice	54	Player	found a dead rat?	badending5	17	-1	
choice	55	Player	find higher ground immediately	badending5	33	-1	
choice	56	Player	probably saving his phone battery	badending6	1	-1	
choice	57	Player	he ditched us	badending6	1	-1	
choice	58	Player	me too	badending6	12	-1	
choice	59	Player	it's my fault	badending6	12	-1	
choice	60	Player	me too	badending5	54	-1	
choice	61	Player	it's my fault	badending5	54	-1	
choice	62	Player	we were getting worried	event6	14	-1	
choice	63	Player	are you okay?	event6	14	-1	
choice	64	Player	are you alright?	event6	18	-1	
choice	65	Player	a storm surge?	event6	23	-1	
choice	66	Player	a tsunami?	event6	24	-1	
choice	67	Player	leave your house	badending4	0	-1	
choice	68	Player	wait for help	event7	0	-1	
choice	69	Player	go to the basement	badending5	0	-1	
choice	70	Player	go to higher ground	event8	0	-1	
choice	71	Player	Plug them in. That's how appliances work.	badending2	3	-1	
choice	72	Player	oh my god you're right	badending2	11	-1	
choice	73	Player	YES YOU COULD GET ELECTROCUTED	badending2	14	-1	
choice	74	Player	yeah you're gonna need help from your family	badending3	5	-1	
choice	75	Player	what happened?	badending3	14	-1	
choice	76	Player	let's pray to god that doesn't happen	notif	16	-1	
choice	77	Player	go ahead	notif	12	-1	
choice	78	Player	how does this relate to you pumping out all the water?	badending3	17	-1	
choice	79	Player	i’m glad	evac2	4	-1	
choice	80	Player	get some rest	evac2	3	-1	
choice	81	Player	you’ll be fine	evac2	13	-1	
choice	82	Player	i’ll be praying for you	evac2	13	-1	
choice	83	Player	text us when you get back	evac2	24	-1	
choice	84	Player	get back safely	evac2	24	-1	
choice	85	Player	go back the shortest way possible	badending1	0	-1	
choice	86	Player	take a detour	evac2	32	-1	
choice	87	Player	you’re welcome	postdisaster2	11	-1	
choice	88	Player	what’s the magic word?	postdisaster2	11	-1	
choice	89	Player	go ahead and pump the water out	badending3	0	-1	
choice	90	Player	wait	event2	0	-1	
evac	0	Jacob	alright, we’re here	evac	1	-1	
evac	1	Jacob	whew! There are so many people. It’s pretty crowded	evac	2	-1	
evac	2	Jacob	but whatever, i’m just glad to be somewhere safer	choice	12,13	-1	
evac	3	Jacob	thank you, i definitely will	evac	6	-1	
evac	4	Jacob	me too	evac	5	-1	
evac	5	Jacob	i guess i’ll get some rest for now	evac	6	-1	
evac	6	Jacob	people here are saying there’ll be another storm surge coming	evac	7	-1	
evac	7	Jacob	best be rested when that happens	evac	8	-1	
evac	8	Jacob	my god, guys	evac	9	-1	
evac	9	Jacob	the rain and winds are so strong	evac	10	-1	
evac	10	Jacob	way stronger than it was a while ago	evac	11	-1	
evac	11	Jacob	thankfully, this center seems pretty sturdy	evac	12	-1	
evac	12	Jacob	i still can’t help but feel nervous, though	choice	14,15	-1	
evac	13	Jacob	thank you	evac	14	-1	
evac	14	Holly	Jacob, are you alright?	evac	15	-1	
evac	15	Holly	i heard in the news that the storm is already outside the par	evac	16	-1	
evac	16	Jacob	par?	evac	17	-1	
evac	17	Holly	philippine area of responsibility	evac	18	-1	
evac	18	Jacob	ah, yeah.	evac	19	-1	
evac	19	Jacob	We’re preparing to go back home	evac	20	-1	
evac	20	Jacob	everyone’s relieved	evac	21	-1	
evac	21	Jacob	but i’m worried about what we’ll see when we get back	evac	22	-1	
evac	22	Jacob	honestly,I doubt the house made it in one piece	evac	23	-1	
evac	23	Jacob	with how strong the storm surge was	choice	16,17	-1	
evac	24	Jacob	will do	evac	25	-1	
evac	25	Jacob	but before that…	evac	26	-1	
evac	26	Jacob	see, i wanted to get back to the house as fast as possible	evac	27	-1	
evac	27	Jacob	so i asked around but the shortest path to getting there is still flooded	evac	28	-1	
evac	28	Holly	how deep?	evac	29	-1	
evac	29	Jacob	well, let’s just say I’ll be able to swim if I wanted to	evac	30	-1	
evac	30	Jacob	it’s calm, though. I won’t get washed away for sure	evac	31	-1	
evac	31	Holly	hmm… you would be able to prevent more damages the earlier you get back	choice	18,19	-1	
evac	32	Jacob	if you say so	postdisaster1	0	-1	
evac2	0	Jacob	alright, we’re here	evac2	1	-1	
evac2	1	Jacob	whew! There are so many people. It’s pretty crowded	evac2	2	-1	
evac2	2	Jacob	but whatever, i’m just glad to be somewhere safer	choice	79,80	-1	
evac2	3	Jacob	thank you, i definitely will	evac2	6	-1	
evac2	4	Jacob	me too	evac2	5	-1	
evac2	5	Jacob	i guess i’ll get some rest for now	evac2	6	-1	
evac2	6	Jacob	people here are saying there’ll be another storm surge coming	evac2	7	-1	
evac2	7	Jacob	best be rested when that happens	evac2	8	-1	
evac2	8	Jacob	my god, guys	evac2	9	-1	
evac2	9	Jacob	the rain and winds are so strong	evac2	10	-1	
evac2	10	Jacob	way stronger than it was a while ago	evac2	11	-1	
evac2	11	Jacob	thankfully, this center seems pretty sturdy	evac2	12	-1	
evac2	12	Jacob	i still can’t help but feel nervous, though	choice	81,82	-1	
evac2	13	Jacob	thank you	evac2	14	-1	
evac2	14	Holly	Jacob, are you alright?	evac2	15	-1	
evac2	15	Holly	i heard in the news that the storm is already outside the par	evac2	16	-1	
evac2	16	Jacob	par?	evac2	17	-1	
evac2	17	Holly	philippine area of responsibility	evac2	18	-1	
evac2	18	Jacob	ah, yeah.	evac2	19	-1	
evac2	19	Jacob	We’re preparing to go back home	evac2	20	-1	
evac2	20	Jacob	everyone’s relieved	evac2	21	-1	
evac2	21	Jacob	but i’m worried about what we’ll see when we get back	evac2	22	-1	
evac2	22	Jacob	honestly,I doubt the house made it in one piece	evac2	23	-1	
evac2	23	Jacob	with how strong the storm surge was	choice	83,84	-1	
evac2	24	Jacob	will do	evac2	25	-1	
evac2	25	Jacob	but before that…	evac2	26	-1	
evac2	26	Jacob	see, i wanted to get back to the house as fast as possible	evac2	27	-1	
evac2	27	Jacob	so i asked around but the shortest path to getting there is still flooded	evac2	28	-1	
evac2	28	Holly	how deep?	evac2	29	-1	
evac2	29	Jacob	well, let’s just say I’ll be able to swim if I wanted to	evac2	30	-1	
evac2	30	Jacob	it’s calm, though. I won’t get washed away for sure	evac2	31	-1	
evac2	31	Holly	hmm… you would be able to prevent more damages the earlier you get back	choice	85,86	-1	
evac2	32	Jacob	if you say so	postdisaster2	0	-1	
