Type	#	user	text	nextType	#	
event1	11	a	Who knows what bad thing could have happened if you haven’t mentioned that! You could have drowned, you could have contracted some stomach disease, or even suffered from leptospirosis!	event1	12	
event1	12	b	yeah, yeah	event1	13	
event1	13	b	you can’t blame me	event1	14	
event1	14	b	i literally thought “storm surge” was just a fancy term for “heavy rain”	event1	15	
event1	15	b	they didn’t teach it at school	event1	16	
event1	16	a	Well, you’re not completely blameless either, you know.	event1	17	
event1	17	b	yeah, i know	event1	18	
event1	18	b	i'm just hoping it’s not too late to realize that yet	choice	10,11	
choice	10	Player	it’s not too late	event1	21	
choice	11	Player	it’s too late	event1	19	
event1	19	a	Don’t say that!	event1	21	
event1	20	a	[name] is right.	event1	21	
event1	21	a	You can still try making last minute preparations to lessen the damage.	event1	22	
event1	22	a	What does the NDRRMC text say?	event1	23	
event1	23	b	they said they’re anticipating the storm surge three days from now	event1	24	
event1	24	a	Good.	event1	25	
event1	25	b	good?	event1	26	
event1	26	b	I mean I know all about storm surges now but i still have no clue what to do	event1	27	
event1	27	a	minigame2	event1	28	
event1	28	b	nice! thanks for helping me guys	event1	29	
event1	29	b	oh hey	event1	30	
event1	30	b	i just received another message from ndrrmc	event1	31	
event1	31	b	they said that there’s an evacuation center not far from my current location and that it’s currently safe to evacuate	event1	32	
event1	32	b	i guess i better go tell my family	event1	33	
event1	33	b	i’ll talk to you guys again later when i get there	evac	0	
						
evac	0	b	alright, we’re here	evac	1	
evac	1	b	whew! There are so many people. It’s pretty crowded	evac	2	
evac	2	b	but whatever, i’m just glad to be somewhere safer	choice	12,13	
choice	12	Player	i’m glad	evac	4	
choice	13	Player	get some rest	evac	3	
evac	3	b	thank you, i definitely will	evac	6	
						
evac	4	b	me too	evac	5	
evac	5	b	i guess i’ll get some rest for now	evac	6	
evac	6	b	people here are saying there’ll be another storm surge coming	evac	7	
evac	7	b	best be rested when that happens	evac	8	
						
evac	8	b	my god, guys	evac	9	
evac	9	b	the rain and winds are so strong	evac	10	
evac	10	b	way stronger than it was a while ago	evac	11	
evac	11	b	thankfully, this center seems pretty sturdy	evac	12	
evac	12	b	i still can’t help but feel nervous, though	choice	14,15	
choice	14	Player	you’ll be fine	evac	13	
choice	15	Player	i’ll be praying for you	evac	13	
evac	13	b	thank you	evac	14	
						
evac	14	a	b, are you alright?	evac	15	
evac	15	a	i heard in the news that the storm is already outside the par	evac	16	
evac	16	b	par?	evac	17	
evac	17	a	philippine area of responsibility	evac	18	
evac	18	b	ah, yeah.	evac	19	
evac	19	b	We’re preparing to go back home	evac	20	
evac	20	b	everyone’s relieved	evac	21	
evac	21	b	but i’m worried about what we’ll see when we get back	evac	22	
evac	22	b	honestly,I doubt the house made it in one piece	evac	23	
evac	23	b	with how strong the storm surge was	choice	16,17	
choice	16	Player	text us when you get back	evac	24	
choice	17	Player	get back safely	evac	24	
evac	24	b	will do	evac	25	
evac	25	b	but before that…	evac	26	
evac	26	b	see, i wanted to get back to the house as fast as possible	evac	27	
evac	27	b	so i asked around but the shortest path to getting there is still flooded	evac	28	
evac	28	a	how deep?	evac	29	
evac	29	b	well, let’s just say I’ll be able to swim if I wanted to	evac	30	
evac	30	b	it’s calm, though. I won’t get washed away for sure	evac	31	
evac	31	a	hmm… you would be able to prevent more damages the earlier you get back	choice	18,19	
choice	18	Player	go back the shortest way possible	badending1	0	
choice	19	Player	take a detour	evac	32	
evac	32	b	if you say so	postdisaster1	0	
						
postdisaster1	0	b	my god	postdisaster1	1	
postdisaster1	1	b	the house is destroyed	postdisaster1	2	
postdisaster1	2	b	like my morale haha	postdisaster1	3	
postdisaster1	3	b	well, not completely.	postdisaster1	4	
postdisaster1	4	a	it’s nice to know that you’re still going strong after all of this.	postdisaster1	5	
postdisaster1	5	b	no, my morale is crushed	postdisaster1	6	
postdisaster1	6	b	but the house is still standing,	postdisaster1	7	
postdisaster1	7	b	bad news is that its still flooded and stuff are broken everywhere	postdisaster1	8	
postdisaster1	8	b	i can’t help but feel bad	postdisaster1	9	
postdisaster1	9	b	i feel like we could’ve prevented this or lessened some of the damage at least	choice	20,21	
choice	20	Player	i’m sorry	postdisaster1	10	
choice	21	Player	it’s too late for regret	postdisaster1	11	
postdisaster1	10	b	don’t be	postdisaster1	13	
postdisaster1	11	b	...that’s right	postdisaster1	12	
postdisaster1	12	b	well i shouldnt complain	postdisaster1	13	
postdisaster1	13	b	i was too ignorant	postdisaster1	14	
postdisaster1	14	a	well, you DID listen to us, so you’re not THAT ignorant	postdisaster1	15	
postdisaster1	15	a	that accounts for something!	postdisaster1	16	
postdisaster1	16	a	maybe for now, you can try checking each room to check their conditions	postdisaster1	17	
postdisaster1	17	b	alright, wait a min I’ll go check the rooms on the ground floor first	postdisaster1	18	
						
postdisaster1	18	b	guys…	postdisaster1	19	
postdisaster1	19	b	you know the feeling when you know you bombed a test and you dont want to look at it	postdisaster1	20	
postdisaster1	20	b	but when you look at it you see that you DID fail and you feel terrible even if you expected it?	postdisaster1	21	
postdisaster1	21	a	can’t say that I have.	postdisaster1	22	
postdisaster1	22	b	well, whatever	postdisaster1	23	
postdisaster1	23	b	I feel like that right now	postdisaster1	24	
postdisaster1	24	b	the whole ground floor is a mess	postdisaster1	25	
postdisaster1	25	b	I cant even imagine what my parents feel	postdisaster1	26	
postdisaster1	26	b	or my relatives, especially	postdisaster1	27	
postdisaster1	27	a	b….	postdisaster1	28	
postdisaster1	28	b	there are a couple of bedrooms on the first floor	postdisaster1	29	
postdisaster1	29	b	the ones they use as the masters’ bedroom and children's rooms	postdisaster1	30	
postdisaster1	30	b	for some reason, the guest rooms are on the second floor	postdisaster1	31	
postdisaster1	31	b	anyway, they said they preferred having the rooms on the first floor so that they won’t have to walk far on a tiring day	postdisaster1	32	
postdisaster1	32	b	which is understandable, by the way	postdisaster1	33	
postdisaster1	33	b	this house is HUGE	postdisaster1	34	
postdisaster1	34	b	but i bet they’re reevaluating their life choices right now	postdisaster1	35	
postdisaster1	35	b	the ground floor is a WRECK	postdisaster1	36	
postdisaster1	36	b	you know what’s worse?	postdisaster1	37	
postdisaster1	37	a	Don’t tell me all the books I carefully picked out and generously lent you got destroyed. I spent a fortune on those!	postdisaster1	38	
postdisaster1	38	b	you mean your books that you FORCED onto me because you thought I needed help with my vocabulary?	postdisaster1	39	
postdisaster1	39	b	nuh-uh. no way am I reading a single one of those in my lifetime	postdisaster1	40	
postdisaster1	40	b	so of course	postdisaster1	41	
postdisaster1	41	b	I left ‘em all at home	postdisaster1	42	
postdisaster1	42	a	For once, something good came out of your illiteracy.	postdisaster1	43	
postdisaster1	43	b	hey! No need to be so rude!	postdisaster1	44	
postdisaster1	44	b	anyway, back to the problem	postdisaster1	45	
postdisaster1	45	b	my relatives kept most of their valuables in those rooms including important documents	postdisaster1	46	
postdisaster1	46	b	like their house lease contract	postdisaster1	47	
postdisaster1	47	b	(I only overheard that during the adults’ talk)	postdisaster1	48	
postdisaster1	48	b	of course, their TV’s and gadgets all took a swim too	postdisaster1	49	
postdisaster1	49	a	Oh no, were there some things left that were salvageable?	postdisaster1	50	
postdisaster1	50	b	well, there’s still stuff on the 2nd floor and above	postdisaster1	51	
postdisaster1	51	b	but they lost a lot	postdisaster1	52	
postdisaster1	52	b	even with how rich they are, there’ll be a huge dent in their savings just to recover from this	postdisaster1	53	
postdisaster1	53	a	Well, on the bright side, they’re very privileged even recover from those losses compared to others	postdisaster1	54	
postdisaster1	54	b	i guess so…	postdisaster1	55	
postdisaster1	55	b	i just can’t help but regret, though	postdisaster1	56	
postdisaster1	56	b	if only we had been more prepared	postdisaster1	57	
postdisaster1	57	b	if only we had known what to do…	postdisaster1	58	
postdisaster1	58	a	Well, no use dwelling on the past, as long as you make sure you learn from this.	postdisaster1	59	
postdisaster1	59	b	alright…	postdisaster1	60	
postdisaster1	60	b	i guess i should get started on pumping water out. The basement is still quite flooded	postdisaster1	61	
postdisaster1	61	b	getting the water out as soon as possible will lessen the damage	postdisaster1	62	
postdisaster1	62	b	hey, [name], stop seenzoning, what do you think?	choice	22,23	
choice	22	Player	go ahead and pump the water out	block	0	
choice	23	Player	wait	event2	0	check the water level outside your house first
						
event2	0	b	huh? why?	event2	1	
event2	1	a	oh, i get it!	event2	2	
event2	2	a	It won’t be safe to pump water out of the basement if there’s still water surrounding the walls from the outside.	event2	3	
event2	3	a	Right now, the pressure inside and outside the basement are a bit balanced, considering that your basement walls are still up.	event2	4	
event2	4	a	But if you reduce the pressure from the inside, your walls might not be able to take the outside pressure.	event2	5	
event2	5	b	and it will break…	event2	6	
event2	6	a	Exactly.	event2	7	
event2	7	b	when is it safe to pump the water out, then	choice	24	
choice	24	Player	when the water is no longer covering the ground around the house	event2	8	
event2	8	b	oh, cool. i guess i’ll have to wait a while then	event2	9	
event2	9	b	i’ll see what else i can do for the meantime and maybe somewhere a bit drier	event2	10	
						
event2	10	a	You know, amidst this horrible disaster, I’m actually glad that [b] is finally learning how to listen to us.	event2	11	
event2	11	a	He used to be so stubborn and defiant.	event2	12	
event2	12	a	If I had known that this experience was all it would take for him to start functioning like a pleasant human being, I would have wished this on him sooner.	choice	25,26	
choice	25	Player	What are you talking about?	event2	13	
choice	26	Player	I feel the same way.	event2	13	
event2	13	a	That was a joke, of course.	event2	14	
event2	14	a	You didn’t think I was serious, did you?	event2	15	
event2	15	b	uhh, so i’m just gonna pretend i didnt see that	event2	16	
event2	16	b	ugh i thought the 2nd floor would be a bit drier	event2	17	
event2	17	b	but it’s so moist!	event2	18	
event2	18	b	the moistness is so extreme that i might as well just dive into the flood	event2	19	
event2	19	a	Yikes.	event2	20	
event2	20	b	is there anything i should do about this? Or is there anything i could do about it?	event2	21	
event2	21	a	Do you guys have a dehumidifier?	event2	22	
event2	22	b	i think we do, i might’ve seen one in the attic before	event2	23	
event2	23	a	How about an air mover?	event2	24	
event2	24	b	what are those?	event2	25	
event2	25	a	They’re basically air blowers. They’re used to improve air circulation to reduce drying times	event2	26	
event2	26	b	won’t an electric fan e enough?	event2	27	
event2	27	b	i mean… they blow air...	event2	28	
event2	28	a	Fans usually circulate the air in multiple directions while air movers circulate them in a specific area.	event2	29	
event2	29	a	Drying things might still be faster using an air mover.	event2	30	
event2	30	a	However, using humidifiers and air movers can get quite tricky when using to lessen the damages from floods.	event2	31	
event2	31	a	It usually takes the right balance of both	event2	32	
event2	32	b	cool, well, i can still check if we have both of them	event2	33	
event2	33	a	Or, you know, another option is to just open your windows tolet fresh air in.	event2	34	
event2	34	b	what should i do?	choice	27,28	
choice	27	Player	open the windows	event3	0	try not to use electricity before the house has been checked by an electrician
choice	28	Player	fetch the dehumidifier and air mover	block	0	
						
event3	0	a	Oh right,that completely slipped my mind for some reason.	event3	1	
event3	1	a	I agree with [name], keep everything electronic switched off for now.	event3	2	
event3	2	a	I’m sorry for even suggesting it in the first place.	event3	3	
event3	3	b	nah, it’s fine	event3	4	
event3	4	b	wow, opening the windows really made the air inside feel more fresh	event3	5	
event3	5	b	fresher than the fresh prince of bel air haha	event3	6	
event3	6	a	Do you even know what you’re referencing?	event3	7	
event3	7	b	doesnt matter, i’m feeling a little better now	event3	8	
event3	8	b	i can’t wait for all of this to be over	event3	9	
event3	9	a	Can’t you just leave? That’s your relative’s house anyway. Youre home in the city is probably still intact since [name] and I are still doing alright.	event3	10	
event3	10	b	can’t. They’re still family, plus they need all the help they can get	event3	11	
event3	11	b	i’ll try looking for more stuff to do and make myself more useful	event3	12	
event3	12	b	i’ll be right back	event3	13	
						
event3	13	b	good news	event3	14	
event3	14	a	Great! That took quite some time though.	event3	15	
event3	15	b	sure did	event3	16	
event3	16	b	which is why i decided to be productive	event3	17	
event3	17	b	who knew i had a knack for stacking cans	event3	18	
event3	18	b	cans are amazing	event3	19	
event3	19	b	not gonna lie, i was getting tempted to eat some	event3	20	
event3	20	b	anyways, im still hungry	event3	21	
event3	21	b	but all the cans are sealed and im too lazy to find the can opener	event3	22	
event3	22	b	guess i’ll settle with drinking water instead	choice	29,30	
choice	29	Player	go ahead	block	0	
choice	30	Player	don't	event4	0	it’s better to just throw any medicine, food, or water that had contact with the flood water
						
event4	0	a	Yeah, it’s important to remember that flood water isn’t just “dirty water”.	event4	1	
event4	1	a	At this point, its probably a mix of every dirty thing you know.	event4	2	
event4	2	a	Better be safe than sorry.	event4	3	
event4	3	b	i guess i should really, carefully disinfect everything	event4	4	
event4	4	b	ugh, my body already aches just thinking about the amount of work this will take	event4	5	
event4	5	b	anyways, you guys were right to tell me not to use the humidifier thing earlier	event4	6	
event4	6	b	i just noticed a while ago that there was a downed power line near my house	event4	7	
event4	7	b	i would’ve reported it but i didn’t really know who or where to call	event4	8	
event4	8	a	You could call Meralco, though I don’t really remember what their 24/7 hotline number is.	choice	31	
choice	31	Player	16211	event4	9	
event4	9	b	thanks thanks	event4	10	
event4	10	b	i should call them to check our electric… stuff here at the house too	event4	11	
						
event4	11	b	okay, just called em. what now?	event4	12	
event4	12	a	Well, you did say that all the floodwater went down outside already, right?	event4	13	
event4	13	b	and?	event4	14	
event4	14	a	You can start pumping out the water in your basement already.	event4	15	
event4	15	b	makes sense	event4	16	
event4	16	b	better prepare myself to pump all the water out, yikes	choice	32,33	
choice	32	Player	just think of it as a work out	block	0	
choice	33	Player	don’t pump all of them out	event5	0	
						
event5	0	b	huh, why not?	event5	1	
event5	1	b	it’s not flooded outside anymore	choice	34	
choice	34	Player	pump about 1-3 feet and leave it overnight	event5	2	
event5	2	b	but why	event5	3	
event5	3	a	You’re still not sure if the pressure outside is lessened enough for you to pump out all the water inside safely.	event5	4	
event5	4	a	Pumping out only a bit and leaving it overnight will make you more certain about whether it’s safe to continue or not.	event5	5	
event5	5	b	how?	event5	6	
event5	6	a	If you measure the height of the water after pumping some of it out, you’ll be able to see tomorrow if the water level has increased.	event5	7	
event5	7	a	When the water stops rising, pump out 1-3 feet again.	event5	8	
event5	8	a	Its safest to repeat those steps until you’ve pumped out all of the water.	event5	9	
event5	9	b	huh… i see…	event5	10	
event5	10	b	thanks sherlock	event5	11	
event5	11	a	I’ll just ignore that. After the water’s gone, try to shovel out the mud before it dries.	event5	12	
event5	12	a	I saw this formula online too, try using this to disinfect your walls.	event5	13	
event5	13	a	“Hose off the walls and floors with clean water and then disinfect them with a solution of 1 1/2 cups of liquid chlorine bleach to a gallon of fresh water. CAUTION	event5	14	
event5	14	b	ugh, more work	event5	15	
event5	15	a	well, do you want to get sick from all of those bacteria?	event5	16	
event5	16	a	if I were you, I'd get started right away.	event5	17	
event5	17	b	easy for you to say	event5	18	
event5	18	b	you're not doing all the hard work	event5	19	
event5	19	b	but I guess i can't complain tho since you guys got me this far	event5	20	
event5	20	b	an electrician will be visiting us after a few days so i better get started now	event5	21	
event5	21	b	be right back guys	event5	22	
event5	22	b	next time you see me I'll be jacked	goodending	0	
						
goodending	0	a	b must’ve been really busy helping his relatives out	goodending	1	
goodending	1	a	He barely had time to talk to us here	goodending	2	
goodending	2	a	It’s good that he’s getting the hang of it though	choice	35,36	
choice	35	Player	When did he say he was getting back?	goodending	3	
choice	36	Player	Yeah, answering his questions tired me out	goodending	5	
goodending	3	a	This afternoon, actually	goodending	4	
goodending	4	a	About a few hours from now	goodending	9	
goodending	5	a	lol	goodending	6	
goodending	6	a	Not gonna lie but, me too	goodending	7	
goodending	7	a	stressed me out too	goodending	8	
goodending	8	a	It felt like I was the one in the middle of that storm surge	goodending	9	
goodending	9	b	hey guys	goodending	10	
goodending	10	a	lol are you okay?	goodending	11	
goodending	11	b	yeah, just feeling a little tired	goodending	12	
goodending	12	b	i’m not going back home yet, actually	goodending	13	
goodending	13	b	my parents were itching to get back home, but i can’t leave just yet	goodending	14	
goodending	14	b	sorry if i tired you guys out	goodending	15	
goodending	15	a	It’s alright, that was nothing.	goodending	16	
goodending	16	b	i just want to say thanks again	goodending	17	
goodending	17	b	would it be weird of me to say that this is probably the best vacation of my life?	goodending	18	
goodending	18	a	Well, yes.	goodending	19	
goodending	19	b	hahaha	goodending	20	
goodending	20	b	I just never thought i would learn so much	goodending	21	
goodending	21	b	and i guess i’ve never really felt this thankful to be alive	goodending	22	
goodending	22	a	So, what’s the reason you can’t go home just yet?	goodending	23	
goodending	23	b	actually…	goodending	24	
goodending	24	b	all this kinda made me wanna volunteer	goodending	25	
goodending	25	b	i mean, i would’ve died if it weren’t for you guys	goodending	26	
goodending	26	b	so I thought i could help others like u guys helped me	goodending	27	
goodending	27	a	Wow, you’re like, a different person now.	goodending	28	
goodending	28	b	hahaha, i know, it’s also weirding me out	goodending	29	
goodending	29	b	anyway, thanks again! And talk to you guys later	goodending	30	
goodending	30	b	i need to head out soon	goodending	31	
goodending	31	a	Alright, bye b!	choice	37,38	
choice	37	Player	bye	goodending	33	
choice	38	Player	you’re amazing	goodending	32	
goodending	32	b	haha, thanks	block	1	
goodending	33	b	haha, good bye ;P	block	1	
						
badending1	0	b	walking through the flooded waters isn’t that bad	badending1	1	
badending1	1	b	feels a bit refreshing, if you ask me	badending1	2	
badending1	2	b	if only the waters weren’t so dir	badending1	3	
badending1	3	a	‘dir’, what?	notif	0	
						
notif	0	system	b went offline	badending1	4	
						
badending1	4	a	b???	choice	39,40	
choice	39	Player	maybe he got electrocuted	badending1	5	
choice	40	Player	maybe his cell phone fell into the water	badending1	5	
badending1	5	a	Now’s not the time to joke around!	badending1	6	
badending1	6	a	Let’s hope he gets back home safe	badending1	7	
						
badending1	7	a	b hasn’t contacted us in a while… I have a bad feeling about this	choice	41,42	
choice	41	Player	me too..	badending1	8	
choice	42	Player	it’s my fault	badending1	8	
badending1	8	a	If something bad did happen to him, it’s not your fault nor mine alone	badending1	9	
badending1	9	a	It’s both ours	notif	1	
						
notif	1	system	b is online	badending1	10	
						
badending1	10	a	b!!	badending1	11	
badending1	11	a	I knew it! You’re safe!	badending1	12	
badending1	12	b	a, [name]	badending1	13	
badending1	13	a	What happened last time?? Why did you suddenly stop messaging us like that?	badending1	14	
badending1	14	a	We were so worried	badending1	15	
badending1	15	b	I’m sorry	badending1	16	
badending1	16	b	but this is not b	badending1	17	
badending1	17	b	this is his mother	badending1	18	
badending1	18	b	we took the shortest way back home, but the flood was still pretty deep and foggy	badending1	19	
badending1	19	b	we couldn’t see anything under the water	badending1	20	
badending1	20	b	we were also unfamiliar with the roads and… well…	badending1	21	
badending1	21	b	we didn’t know that there was an open gutter	badending1	22	
badending1	22	b	and he…	badending1	23	
badending1	23	b	i’m sorry i have no heart to tell you in detail what happened	badending1	24	
badending1	24	b	just know that what happened to b is neither of your faults	badending1	25	
badending1	25	b	it’s mine	badending1	26	
badending1	26	b	both of you tried your best to guide and help b, well, us, through the storm surge, and I, as his mother couldn’t do anything	badending1	27	
badending1	27	b	despite what happened to b, we are truly thankful for both of your guidance	badending1	28	
badending1	28	b	i promise to read more on disaster preparedness	badending1	29	
badending1	29	b	and i hope you do too	badending1	30	
badending1	30	b	once again, thank you, and farewell	block	2	
						
block	0	system	woops, can't select this option yet!	stop	0	
block	1	system	congratulations, you have reached the good ending!	stop	0	
block	2	system	you have reached Bad Ending 1, please try again to get the good ending	stop	0	
